cohort_month,months_since_first,active_customers,cohort_size,retention_rate
2017-05,4,11,3596,0.0030589543937708566
2017-05,5,12,3596,0.0033370411568409346
2017-05,6,15,3596,0.004171301446051168
2017-05,7,6,3596,0.0016685205784204673
2017-05,8,9,3596,0.002502780867630701
2017-05,9,11,3596,0.0030589543937708566
2017-05,10,9,3596,0.002502780867630701
2017-05,11,12,3596,0.0033370411568409346
2017-05,12,9,3596,0.002502780867630701
2017-05,13,1,3596,0.00027808676307007786
2017-05,14,7,3596,0.001946607341490545
2017-05,15,9,3596,0.002502780867630701
2017-06,0,3139,3139,1.0
2017-06,1,15,3139,0.004778591908251036
2017-06,2,11,3139,0.003504300732717426
2017-06,3,13,3139,0.00414144632048423
2017-06,4,8,3139,0.002548582351067219
2017-06,5,12,3139,0.003822873526600828
2017-06,6,12,3139,0.003822873526600828
2017-06,7,7,3139,0.0022300095571838167
2017-06,8,4,3139,0.0012742911755336094
2017-06,9,7,3139,0.0022300095571838167
2017-06,10,10,3139,0.0031857279388340237
2017-06,11,11,3139,0.003504300732717426
2017-06,12,5,3139,0.0015928639694170119
2017-06,13,4,3139,0.0012742911755336094
2017-06,14,6,3139,0.001911436763300414
2017-07,0,3894,3894,1.0
2017-07,1,20,3894,0.005136106831022085
2017-07,2,14,3894,0.0035952747817154596
2017-07,3,10,3894,0.0025680534155110425
2017-07,4,11,3894,0.002824858757062147
2017-07,5,8,3894,0.002054442732408834
2017-07,6,12,3894,0.0030816640986132513
2017-07,7,4,3894,0.001027221366204417
2017-07,8,7,3894,0.0017976373908577298
2017-07,9,10,3894,0.0025680534155110425
2017-07,10,9,3894,0.0023112480739599386
2017-07,11,12,3894,0.0030816640986132513
2017-07,12,5,3894,0.0012840267077555213
2017-07,13,10,3894,0.0025680534155110425
2017-08,0,4184,4184,1.0
2017-08,1,29,4184,0.006931166347992352
2017-08,2,14,4184,0.0033460803059273425
2017-08,3,11,4184,0.0026290630975143404
2017-08,4,15,4184,0.0035850860420650094
2017-08,5,22,4184,0.005258126195028681
2017-08,6,12,4184,0.0028680688336520078
2017-08,7,11,4184,0.0026290630975143404
2017-08,8,6,4184,0.0014340344168260039
2017-08,9,6,4184,0.0014340344168260039
2017-08,10,10,4184,0.002390057361376673
2017-08,11,8,4184,0.0019120458891013384
2017-08,12,4,4184,0.0009560229445506692
2017-09,0,4130,4130,1.0
2017-09,1,28,4130,0.006779661016949152
2017-09,2,22,4130,0.005326876513317191
2017-09,3,12,4130,0.0029055690072639223
2017-09,4,19,4130,0.004600484261501211
2017-09,5,9,4130,0.0021791767554479417
2017-09,6,9,4130,0.0021791767554479417
2017-09,7,10,4130,0.002421307506053269
2017-09,8,12,4130,0.0029055690072639223
2017-09,9,7,4130,0.001694915254237288
2017-09,10,11,4130,0.0026634382566585956
2017-09,11,3,4130,0.0007263922518159806
2017-10,0,4470,4470,1.0
2017-10,1,31,4470,0.006935123042505592
2017-10,2,11,4470,0.0024608501118568234
2017-10,3,4,4470,0.0008948545861297539
2017-10,4,10,4470,0.0022371364653243847
2017-10,5,9,4470,0.0020134228187919465
2017-10,6,10,4470,0.0022371364653243847
2017-10,7,16,4470,0.0035794183445190158
2017-10,8,12,4470,0.0026845637583892616
2017-10,9,9,4470,0.0020134228187919465
2017-10,10,9,4470,0.0020134228187919465
2017-11,0,7304,7304,1.0
2017-11,1,40,7304,0.00547645125958379
2017-11,2,28,7304,0.0038335158817086527
2017-11,3,13,7304,0.0017798466593647317
2017-11,4,14,7304,0.0019167579408543264
2017-11,5,13,7304,0.0017798466593647317
2017-11,6,8,7304,0.001095290251916758
2017-11,7,14,7304,0.0019167579408543264
2017-11,8,10,7304,0.0013691128148959474
2017-11,9,4,7304,0.000547645125958379
2017-12,0,5487,5487,1.0
2017-12,1,14,5487,0.0025514853289593585
2017-12,2,15,5487,0.002733734281027884
2017-12,3,19,5487,0.0034627300893019866
2017-12,4,15,5487,0.002733734281027884
2017-12,5,11,5487,0.0020047384727537817
2017-12,6,9,5487,0.0016402405686167304
2017-12,7,3,5487,0.0005467468562055768
2017-12,8,12,5487,0.002186987424822307
2018-01,0,7025,7025,1.0
2018-01,1,24,7025,0.003416370106761566
2018-01,2,27,7025,0.0038434163701067618
2018-01,3,20,7025,0.0028469750889679717
2018-01,4,20,7025,0.0028469750889679717
2018-01,5,11,7025,0.0015658362989323844
2018-01,6,12,7025,0.001708185053380783
2018-01,7,16,7025,0.002277580071174377
2018-02,0,6451,6451,1.0
2018-02,1,25,6451,0.0038753681599751977
2018-02,2,25,6451,0.0038753681599751977
2018-02,3,19,6451,0.0029452798015811503
2018-02,4,17,6451,0.0026352503487831343
2018-02,5,14,6451,0.002170206169586111
2018-02,6,13,6451,0.002015191443187103
2018-03,0,6965,6965,1.0
2018-03,1,32,6965,0.004594400574300072
2018-03,2,22,6965,0.0031586503948312994
2018-03,3,20,6965,0.002871500358937545
2018-03,4,9,6965,0.0012921751615218953
2018-03,5,9,6965,0.0012921751615218953
2018-04,0,6711,6711,1.0
2018-04,1,39,6711,0.00581135449262405
2018-04,2,21,6711,0.0031291908806437194
2018-04,3,16,6711,0.0023841454328714052
2018-04,4,9,6711,0.0013410818059901655
2018-05,0,6622,6622,1.0
2018-05,1,35,6622,0.005285412262156448
2018-05,2,18,6622,0.002718212020537602
2018-05,3,14,6622,0.0021141649048625794
2018-06,0,5940,5940,1.0
2018-06,1,25,5940,0.004208754208754209
2018-06,2,17,5940,0.002861952861952862
2018-06,4,1,5940,0.00016835016835016836
2018-07,0,6071,6071,1.0
2018-07,1,44,6071,0.007247570416735299
2018-07,2,2,6071,0.00032943501894251357
2018-08,0,6271,6271,1.0
2018-08,1,7,6271,0.001116249402009249
2018-08,2,2,6271,0.0003189284005740711
2018-09,0,5,5,1.0
2018-10,0,1,1,1.0
